tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 64.03; Multnomah County; Oregon,4414,95179,935,883,41,051,006403,1818,0.4856985698569857,1.0,4414.0,35,census_api
Census Tract 64.04; Multnomah County; Oregon,3367,102761,1091,496,41,051,006404,1587,0.3125393824826717,1.0,3367.0,35,census_api
Census Tract 65.01; Multnomah County; Oregon,6051,141808,2016,387,41,051,006501,2403,0.16104868913857678,1.0,6051.0,35,census_api
Census Tract 65.02; Multnomah County; Oregon,4901,90866,1339,1066,41,051,006502,2405,0.44324324324324327,1.0,4901.0,35,census_api
Census Tract 66.01; Multnomah County; Oregon,2754,128173,1046,243,41,051,006601,1289,0.18851823118696664,1.0,2754.0,35,census_api
Census Tract 66.02; Multnomah County; Oregon,5689,95022,1234,1583,41,051,006602,2817,0.561945331913383,1.0,5689.0,35,census_api
Census Tract 67.01; Multnomah County; Oregon,3386,131938,886,526,41,051,006701,1412,0.37252124645892354,1.0,3386.0,35,census_api
Census Tract 67.02; Multnomah County; Oregon,3160,86971,811,575,41,051,006702,1386,0.4148629148629149,1.0,3160.0,35,census_api
Census Tract 68.01; Multnomah County; Oregon,2316,93854,607,426,41,051,006801,1033,0.41239109390125844,1.0,2316.0,35,census_api
Census Tract 68.02; Multnomah County; Oregon,3800,126875,1077,484,41,051,006802,1561,0.31005765534913515,1.0,3800.0,35,census_api
Census Tract 69; Multnomah County; Oregon,2862,205208,993,180,41,051,006900,1173,0.1534526854219949,1.0,2862.0,35,census_api
Census Tract 70.01; Multnomah County; Oregon,5563,168000,1941,371,41,051,007001,2312,0.16046712802768165,1.0,5563.0,35,census_api
Census Tract 70.02; Multnomah County; Oregon,2794,226512,926,133,41,051,007002,1059,0.125590179414542,1.0,2794.0,35,census_api
Census Tract 71; Multnomah County; Oregon,2518,94205,867,184,41,051,007100,1051,0.17507136060894388,1.0,2518.0,35,census_api
Census Tract 72.01; Multnomah County; Oregon,2522,74962,1011,304,41,051,007201,1315,0.2311787072243346,1.0,2522.0,35,census_api
Census Tract 72.02; Multnomah County; Oregon,3308,84154,860,555,41,051,007202,1415,0.392226148409894,1.0,3308.0,35,census_api
Census Tract 73; Multnomah County; Oregon,1362,40893,85,89,41,051,007300,174,0.5114942528735632,1.0,1362.0,35,census_api
Census Tract 74; Multnomah County; Oregon,3829,69125,721,656,41,051,007400,1377,0.47639796659404504,1.0,3829.0,35,census_api
Census Tract 75; Multnomah County; Oregon,4711,81453,1191,796,41,051,007500,1987,0.40060392551585305,1.0,4711.0,35,census_api
Census Tract 76; Multnomah County; Oregon,3530,63016,924,763,41,051,007600,1687,0.45228215767634855,1.0,3530.0,35,census_api
Census Tract 77; Multnomah County; Oregon,2069,80489,669,218,41,051,007700,887,0.24577226606538896,1.0,2069.0,35,census_api
Census Tract 78; Multnomah County; Oregon,1980,81098,503,236,41,051,007800,739,0.3193504736129905,1.0,1980.0,35,census_api
Census Tract 79; Multnomah County; Oregon,4303,60278,1000,924,41,051,007900,1924,0.4802494802494803,1.0,4303.0,35,census_api
Census Tract 80.01; Multnomah County; Oregon,3246,69069,923,484,41,051,008001,1407,0.34399431414356785,1.0,3246.0,35,census_api
Census Tract 80.02; Multnomah County; Oregon,3234,72132,793,317,41,051,008002,1110,0.2855855855855856,1.0,3234.0,35,census_api
Census Tract 81; Multnomah County; Oregon,7983,48106,1133,2086,41,051,008100,3219,0.6480273376825101,1.0,7983.0,35,census_api
Census Tract 82.01; Multnomah County; Oregon,3392,59423,715,635,41,051,008201,1350,0.4703703703703704,1.0,3392.0,35,census_api
Census Tract 82.03; Multnomah County; Oregon,5503,59925,823,1492,41,051,008203,2315,0.6444924406047516,1.0,5503.0,35,census_api
Census Tract 82.04; Multnomah County; Oregon,2256,67241,643,183,41,051,008204,826,0.2215496368038741,1.0,2256.0,35,census_api
Census Tract 83.01; Multnomah County; Oregon,4114,64886,716,939,41,051,008301,1655,0.5673716012084592,1.0,4114.0,35,census_api
Census Tract 83.02; Multnomah County; Oregon,5231,70572,955,698,41,051,008302,1653,0.4222625529340593,1.0,5231.0,35,census_api
Census Tract 84; Multnomah County; Oregon,4626,47172,846,920,41,051,008400,1766,0.5209513023782559,1.0,4626.0,35,census_api
Census Tract 85; Multnomah County; Oregon,4503,71927,949,569,41,051,008500,1518,0.37483530961791833,1.0,4503.0,35,census_api
Census Tract 86; Multnomah County; Oregon,4070,60268,1000,610,41,051,008600,1610,0.37888198757763975,1.0,4070.0,35,census_api
Census Tract 87; Multnomah County; Oregon,4880,82130,1219,567,41,051,008700,1786,0.31746920492721165,1.0,4880.0,35,census_api
Census Tract 88; Multnomah County; Oregon,4124,70598,1116,480,41,051,008800,1596,0.3007518796992481,1.0,4124.0,35,census_api
Census Tract 89.02; Multnomah County; Oregon,4412,70508,587,1080,41,051,008902,1667,0.647870425914817,1.0,4412.0,35,census_api
Census Tract 89.03; Multnomah County; Oregon,4999,127902,1522,71,41,051,008903,1593,0.044569993722536096,1.0,4999.0,35,census_api
Census Tract 89.04; Multnomah County; Oregon,4908,65137,905,770,41,051,008904,1675,0.4597014925373134,1.0,4908.0,35,census_api
Census Tract 90.01; Multnomah County; Oregon,5547,70345,1216,641,41,051,009001,1857,0.34518039849219173,1.0,5547.0,35,census_api
Census Tract 90.02; Multnomah County; Oregon,4581,60685,587,1161,41,051,009002,1748,0.664187643020595,1.0,4581.0,35,census_api
Census Tract 91.01; Multnomah County; Oregon,6261,59167,1181,939,41,051,009101,2120,0.4429245283018868,1.0,6261.0,35,census_api
Census Tract 91.02; Multnomah County; Oregon,6765,73523,1697,617,41,051,009102,2314,0.266637856525497,1.0,6765.0,35,census_api
Census Tract 92.02; Multnomah County; Oregon,5885,37417,1065,1234,41,051,009202,2299,0.5367551109177904,1.0,5885.0,35,census_api
Census Tract 92.03; Multnomah County; Oregon,3081,46026,818,392,41,051,009203,1210,0.3239669421487603,1.0,3081.0,35,census_api
Census Tract 92.04; Multnomah County; Oregon,4246,74077,898,711,41,051,009204,1609,0.44188937228091985,1.0,4246.0,35,census_api
Census Tract 93.01; Multnomah County; Oregon,5287,53929,898,1068,41,051,009301,1966,0.54323499491353,1.0,5287.0,35,census_api
Census Tract 93.02; Multnomah County; Oregon,4848,65779,1003,1058,41,051,009302,2061,0.5133430373605046,1.0,4848.0,35,census_api
Census Tract 94; Multnomah County; Oregon,6593,71498,2510,399,41,051,009400,2909,0.13716053626675834,1.0,6593.0,35,census_api
Census Tract 95.01; Multnomah County; Oregon,4894,68012,1287,752,41,051,009501,2039,0.3688082393330064,1.0,4894.0,35,census_api
Census Tract 95.02; Multnomah County; Oregon,3471,63516,969,546,41,051,009502,1515,0.3603960396039604,1.0,3471.0,35,census_api
Census Tract 96.03; Multnomah County; Oregon,3697,65986,876,525,41,051,009603,1401,0.3747323340471092,1.0,3697.0,35,census_api
Census Tract 96.04; Multnomah County; Oregon,5441,61320,959,1014,41,051,009604,1973,0.5139381652306133,1.0,5441.0,35,census_api
Census Tract 96.05; Multnomah County; Oregon,6255,64583,1308,1110,41,051,009605,2418,0.45905707196029777,1.0,6255.0,35,census_api
Census Tract 96.06; Multnomah County; Oregon,5369,50540,753,1138,41,051,009606,1891,0.6017979904812268,1.0,5369.0,35,census_api
Census Tract 97.01; Multnomah County; Oregon,4833,68183,1157,536,41,051,009701,1693,0.31659775546367397,1.0,4833.0,35,census_api
Census Tract 97.03; Multnomah County; Oregon,4790,62333,1091,667,41,051,009703,1758,0.3794084186575654,1.0,4790.0,35,census_api
