tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 4037.22; Los Angeles County; California,5430,68455,627,1051,06,037,403722,1678,0.6263408820023838,1.0,5430.0,35,census_api
Census Tract 4038.01; Los Angeles County; California,5653,84135,1103,1010,06,037,403801,2113,0.4779933743492664,1.0,5653.0,35,census_api
Census Tract 4038.02; Los Angeles County; California,6547,84455,1328,836,06,037,403802,2164,0.38632162661737524,1.0,6547.0,35,census_api
Census Tract 4039.01; Los Angeles County; California,3091,107368,634,256,06,037,403901,890,0.2876404494382023,1.0,3091.0,35,census_api
Census Tract 4039.02; Los Angeles County; California,5232,103929,1100,390,06,037,403902,1490,0.26174496644295303,1.0,5232.0,35,census_api
Census Tract 4040; Los Angeles County; California,4696,97250,813,539,06,037,404000,1352,0.39866863905325445,1.0,4696.0,35,census_api
Census Tract 4041; Los Angeles County; California,6270,71575,1010,470,06,037,404100,1480,0.31756756756756754,1.0,6270.0,35,census_api
Census Tract 4042.01; Los Angeles County; California,3419,62841,494,489,06,037,404201,983,0.49745676500508645,1.0,3419.0,35,census_api
Census Tract 4042.03; Los Angeles County; California,4309,75333,440,440,06,037,404203,880,0.5,1.0,4309.0,35,census_api
Census Tract 4043.01; Los Angeles County; California,5920,67716,386,1117,06,037,404301,1503,0.7431803060545575,1.0,5920.0,35,census_api
Census Tract 4043.02; Los Angeles County; California,2202,83523,411,229,06,037,404302,640,0.3578125,1.0,2202.0,35,census_api
Census Tract 4044.01; Los Angeles County; California,3807,92250,632,422,06,037,404401,1054,0.40037950664136623,1.0,3807.0,35,census_api
Census Tract 4044.02; Los Angeles County; California,4623,90400,735,435,06,037,404402,1170,0.3717948717948718,1.0,4623.0,35,census_api
Census Tract 4045.01; Los Angeles County; California,2786,59648,374,351,06,037,404501,725,0.48413793103448277,1.0,2786.0,35,census_api
Census Tract 4045.03; Los Angeles County; California,2875,86417,597,232,06,037,404503,829,0.2798552472858866,1.0,2875.0,35,census_api
Census Tract 4045.04; Los Angeles County; California,5291,72000,479,959,06,037,404504,1438,0.6668984700973575,1.0,5291.0,35,census_api
Census Tract 4046; Los Angeles County; California,1343,101181,359,84,06,037,404600,443,0.18961625282167044,1.0,1343.0,35,census_api
Census Tract 4047.01; Los Angeles County; California,5646,92946,903,463,06,037,404701,1366,0.3389458272327965,1.0,5646.0,35,census_api
Census Tract 4047.02; Los Angeles County; California,4807,69157,755,624,06,037,404702,1379,0.45250181290790426,1.0,4807.0,35,census_api
Census Tract 4047.03; Los Angeles County; California,3189,79875,307,417,06,037,404703,724,0.5759668508287292,1.0,3189.0,35,census_api
Census Tract 4048.04; Los Angeles County; California,4487,78750,555,530,06,037,404804,1085,0.48847926267281105,1.0,4487.0,35,census_api
Census Tract 4048.05; Los Angeles County; California,2972,60868,307,442,06,037,404805,749,0.5901201602136181,1.0,2972.0,35,census_api
