tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 73.07; San Bernardino County; California,5071,96042,1224,630,06,071,007307,1854,0.33980582524271846,1.0,5071.0,35,census_api
Census Tract 73.08; San Bernardino County; California,4937,81136,1096,792,06,071,007308,1888,0.4194915254237288,1.0,4937.0,35,census_api
Census Tract 74.04; San Bernardino County; California,5579,100088,1221,496,06,071,007404,1717,0.2888759464181712,1.0,5579.0,35,census_api
Census Tract 74.07; San Bernardino County; California,3267,58958,262,617,06,071,007407,879,0.70193401592719,1.0,3267.0,35,census_api
Census Tract 74.08; San Bernardino County; California,4311,44435,516,800,06,071,007408,1316,0.60790273556231,1.0,4311.0,35,census_api
Census Tract 74.09; San Bernardino County; California,7478,72143,1202,592,06,071,007409,1794,0.32998885172798215,1.0,7478.0,35,census_api
Census Tract 74.10; San Bernardino County; California,6366,54167,683,1439,06,071,007410,2122,0.67813383600377,1.0,6366.0,35,census_api
Census Tract 74.11; San Bernardino County; California,1771,119375,370,181,06,071,007411,551,0.32849364791288566,1.0,1771.0,35,census_api
Census Tract 74.12; San Bernardino County; California,6201,71667,977,831,06,071,007412,1808,0.4596238938053097,1.0,6201.0,35,census_api
Census Tract 76.03; San Bernardino County; California,5321,55917,743,1046,06,071,007603,1789,0.5846841811067636,1.0,5321.0,35,census_api
Census Tract 76.04; San Bernardino County; California,3958,74390,980,249,06,071,007604,1229,0.20260374288039057,1.0,3958.0,35,census_api
Census Tract 76.05; San Bernardino County; California,4324,49583,601,557,06,071,007605,1158,0.48100172711571676,1.0,4324.0,35,census_api
Census Tract 76.06; San Bernardino County; California,3866,42061,467,534,06,071,007606,1001,0.5334665334665335,1.0,3866.0,35,census_api
Census Tract 78; San Bernardino County; California,6110,85991,394,2284,06,071,007800,2678,0.8528752800597461,1.0,6110.0,35,census_api
Census Tract 79.03; San Bernardino County; California,4661,111912,1326,248,06,071,007903,1574,0.15756035578144853,1.0,4661.0,35,census_api
Census Tract 79.04; San Bernardino County; California,7053,153850,1918,107,06,071,007904,2025,0.05283950617283951,1.0,7053.0,35,census_api
Census Tract 79.05; San Bernardino County; California,3835,119767,1042,72,06,071,007905,1114,0.06463195691202872,1.0,3835.0,35,census_api
Census Tract 79.06; San Bernardino County; California,3617,168958,1077,139,06,071,007906,1216,0.11430921052631579,1.0,3617.0,35,census_api
Census Tract 80.01; San Bernardino County; California,8101,92018,1288,976,06,071,008001,2264,0.43109540636042404,1.0,8101.0,35,census_api
Census Tract 80.03; San Bernardino County; California,3561,51076,438,717,06,071,008003,1155,0.6207792207792208,1.0,3561.0,35,census_api
Census Tract 80.04; San Bernardino County; California,3213,62602,411,559,06,071,008004,970,0.5762886597938144,1.0,3213.0,35,census_api
Census Tract 81; San Bernardino County; California,3539,57231,179,1158,06,071,008100,1337,0.8661181750186986,1.0,3539.0,35,census_api
Census Tract 82.01; San Bernardino County; California,3614,70763,507,1038,06,071,008201,1545,0.6718446601941748,1.0,3614.0,35,census_api
Census Tract 82.02; San Bernardino County; California,1757,97083,596,161,06,071,008202,757,0.21268163804491413,1.0,1757.0,35,census_api
Census Tract 83.01; San Bernardino County; California,6957,110393,1316,1315,06,071,008301,2631,0.499809958190802,1.0,6957.0,35,census_api
Census Tract 83.02; San Bernardino County; California,2970,145903,993,106,06,071,008302,1099,0.09645131938125569,1.0,2970.0,35,census_api
Census Tract 84.02; San Bernardino County; California,6001,107898,1633,424,06,071,008402,2057,0.20612542537676226,1.0,6001.0,35,census_api
Census Tract 84.03; San Bernardino County; California,6245,120747,2155,256,06,071,008403,2411,0.10618000829531314,1.0,6245.0,35,census_api
Census Tract 84.04; San Bernardino County; California,3577,54063,114,1177,06,071,008404,1291,0.9116963594113091,1.0,3577.0,35,census_api
Census Tract 84.05; San Bernardino County; California,5682,100023,1015,362,06,071,008405,1377,0.26289034132171385,1.0,5682.0,35,census_api
Census Tract 84.06; San Bernardino County; California,5528,106429,1112,690,06,071,008406,1802,0.38290788013318533,1.0,5528.0,35,census_api
Census Tract 85.01; San Bernardino County; California,3859,127375,1288,56,06,071,008501,1344,0.041666666666666664,1.0,3859.0,35,census_api
Census Tract 85.02; San Bernardino County; California,4835,230852,1513,62,06,071,008502,1575,0.03936507936507937,1.0,4835.0,35,census_api
Census Tract 86.01; San Bernardino County; California,5737,76866,1160,850,06,071,008601,2010,0.4228855721393035,1.0,5737.0,35,census_api
Census Tract 86.02; San Bernardino County; California,4852,57374,1046,536,06,071,008602,1582,0.3388116308470291,1.0,4852.0,35,census_api
Census Tract 87.05; San Bernardino County; California,5150,71356,955,776,06,071,008705,1731,0.4482957827845176,1.0,5150.0,35,census_api
Census Tract 87.08; San Bernardino County; California,3922,106512,1189,167,06,071,008708,1356,0.12315634218289086,1.0,3922.0,35,census_api
Census Tract 87.09; San Bernardino County; California,4599,62064,1104,469,06,071,008709,1573,0.29815638906548,1.0,4599.0,35,census_api
Census Tract 87.10; San Bernardino County; California,4551,43375,1153,647,06,071,008710,1800,0.35944444444444446,1.0,4551.0,35,census_api
Census Tract 87.11; San Bernardino County; California,2906,131406,972,12,06,071,008711,984,0.012195121951219513,1.0,2906.0,35,census_api
Census Tract 87.12; San Bernardino County; California,4974,161250,1665,20,06,071,008712,1685,0.011869436201780416,1.0,4974.0,35,census_api
Census Tract 87.13; San Bernardino County; California,3398,56336,854,579,06,071,008713,1433,0.40404745289602234,1.0,3398.0,35,census_api
Census Tract 87.14; San Bernardino County; California,4375,55930,982,424,06,071,008714,1406,0.3015647226173542,1.0,4375.0,35,census_api
Census Tract 87.15; San Bernardino County; California,7678,140000,2013,441,06,071,008715,2454,0.17970660146699266,1.0,7678.0,35,census_api
Census Tract 87.16; San Bernardino County; California,6476,103854,1342,665,06,071,008716,2007,0.33134030891878424,1.0,6476.0,35,census_api
Census Tract 88; San Bernardino County; California,6551,84505,1544,725,06,071,008800,2269,0.3195240193918026,1.0,6551.0,35,census_api
Census Tract 89.01; San Bernardino County; California,2097,54276,537,298,06,071,008901,835,0.3568862275449102,1.0,2097.0,35,census_api
Census Tract 91.09; San Bernardino County; California,7483,59077,1553,603,06,071,009109,2156,0.27968460111317256,1.0,7483.0,35,census_api
Census Tract 91.19; San Bernardino County; California,6854,102000,1726,226,06,071,009119,1952,0.11577868852459017,1.0,6854.0,35,census_api
Census Tract 91.20; San Bernardino County; California,4768,58076,1024,443,06,071,009120,1467,0.3019768234492161,1.0,4768.0,35,census_api
Census Tract 91.21; San Bernardino County; California,2389,75435,810,112,06,071,009121,922,0.12147505422993492,1.0,2389.0,35,census_api
Census Tract 91.22; San Bernardino County; California,5554,79259,938,355,06,071,009122,1293,0.2745552977571539,1.0,5554.0,35,census_api
Census Tract 91.23; San Bernardino County; California,3388,73191,847,164,06,071,009123,1011,0.16221562809099901,1.0,3388.0,35,census_api
Census Tract 91.24; San Bernardino County; California,5000,72756,914,260,06,071,009124,1174,0.22146507666098808,1.0,5000.0,35,census_api
Census Tract 91.25; San Bernardino County; California,5998,80827,1010,501,06,071,009125,1511,0.3315684976836532,1.0,5998.0,35,census_api
Census Tract 91.26; San Bernardino County; California,5862,100789,1165,432,06,071,009126,1597,0.27050720100187853,1.0,5862.0,35,census_api
Census Tract 91.27; San Bernardino County; California,8616,82799,1184,915,06,071,009127,2099,0.43592186755597906,1.0,8616.0,35,census_api
Census Tract 91.28; San Bernardino County; California,5024,75581,932,249,06,071,009128,1181,0.21083827265029637,1.0,5024.0,35,census_api
Census Tract 91.29; San Bernardino County; California,7244,68623,1280,533,06,071,009129,1813,0.29398786541643684,1.0,7244.0,35,census_api
Census Tract 91.30; San Bernardino County; California,4474,75625,870,208,06,071,009130,1078,0.19294990723562153,1.0,4474.0,35,census_api
Census Tract 91.31; San Bernardino County; California,5746,35186,260,1261,06,071,009131,1521,0.8290598290598291,1.0,5746.0,35,census_api
Census Tract 91.32; San Bernardino County; California,2430,41544,214,366,06,071,009132,580,0.6310344827586207,1.0,2430.0,35,census_api
Census Tract 91.33; San Bernardino County; California,7976,52409,1194,403,06,071,009133,1597,0.25234815278647466,1.0,7976.0,35,census_api
Census Tract 91.34; San Bernardino County; California,1009,46131,224,86,06,071,009134,310,0.27741935483870966,1.0,1009.0,35,census_api
Census Tract 91.35; San Bernardino County; California,5271,81385,1274,116,06,071,009135,1390,0.08345323741007195,1.0,5271.0,35,census_api
Census Tract 91.36; San Bernardino County; California,5535,70349,911,459,06,071,009136,1370,0.335036496350365,1.0,5535.0,35,census_api
Census Tract 91.37; San Bernardino County; California,3605,-666666666,717,350,06,071,009137,1067,0.3280224929709466,1.0,3605.0,35,census_api
Census Tract 91.38; San Bernardino County; California,5557,71011,915,237,06,071,009138,1152,0.20572916666666666,1.0,5557.0,35,census_api
Census Tract 91.39; San Bernardino County; California,4573,170616,996,178,06,071,009139,1174,0.151618398637138,1.0,4573.0,35,census_api
Census Tract 92.01; San Bernardino County; California,4461,70882,1649,429,06,071,009201,2078,0.2064485081809432,1.0,4461.0,35,census_api
Census Tract 92.02; San Bernardino County; California,1472,53636,596,126,06,071,009202,722,0.1745152354570637,1.0,1472.0,35,census_api
Census Tract 93; San Bernardino County; California,859,59375,178,186,06,071,009300,364,0.510989010989011,1.0,859.0,35,census_api
Census Tract 94; San Bernardino County; California,3808,38393,314,1045,06,071,009400,1359,0.7689477557027226,1.0,3808.0,35,census_api
Census Tract 95.01; San Bernardino County; California,3879,40355,581,692,06,071,009501,1273,0.5435978004713276,1.0,3879.0,35,census_api
Census Tract 95.02; San Bernardino County; California,4284,49799,335,1449,06,071,009502,1784,0.8122197309417041,1.0,4284.0,35,census_api
Census Tract 97.08; San Bernardino County; California,5692,68140,1416,443,06,071,009708,1859,0.23830016137708446,1.0,5692.0,35,census_api
Census Tract 97.09; San Bernardino County; California,7148,56798,1418,687,06,071,009709,2105,0.32636579572446556,1.0,7148.0,35,census_api
Census Tract 97.12; San Bernardino County; California,6664,45152,1133,874,06,071,009712,2007,0.4354758345789736,1.0,6664.0,35,census_api
Census Tract 97.13; San Bernardino County; California,6672,61477,1745,603,06,071,009713,2348,0.25681431005110733,1.0,6672.0,35,census_api
Census Tract 97.14; San Bernardino County; California,4100,47463,728,510,06,071,009714,1238,0.41195476575121165,1.0,4100.0,35,census_api
Census Tract 97.17; San Bernardino County; California,4153,78090,1134,377,06,071,009717,1511,0.24950363997352745,1.0,4153.0,35,census_api
Census Tract 97.18; San Bernardino County; California,3513,51894,1728,383,06,071,009718,2111,0.1814306016106111,1.0,3513.0,35,census_api
Census Tract 97.19; San Bernardino County; California,2901,80469,675,240,06,071,009719,915,0.26229508196721313,1.0,2901.0,35,census_api
Census Tract 97.20; San Bernardino County; California,2107,57764,113,476,06,071,009720,589,0.8081494057724957,1.0,2107.0,35,census_api
Census Tract 97.21; San Bernardino County; California,5929,47264,884,864,06,071,009721,1748,0.494279176201373,1.0,5929.0,35,census_api
Census Tract 97.22; San Bernardino County; California,3628,85521,745,358,06,071,009722,1103,0.32456935630099726,1.0,3628.0,35,census_api
Census Tract 97.23; San Bernardino County; California,5599,102382,1508,327,06,071,009723,1835,0.1782016348773842,1.0,5599.0,35,census_api
Census Tract 97.24; San Bernardino County; California,4141,106953,1233,111,06,071,009724,1344,0.08258928571428571,1.0,4141.0,35,census_api
Census Tract 97.25; San Bernardino County; California,5544,93504,1416,227,06,071,009725,1643,0.13816189896530737,1.0,5544.0,35,census_api
Census Tract 97.26; San Bernardino County; California,3047,57428,758,263,06,071,009726,1021,0.257590597453477,1.0,3047.0,35,census_api
Census Tract 97.27; San Bernardino County; California,4748,30647,291,1303,06,071,009727,1594,0.8174404015056461,1.0,4748.0,35,census_api
Census Tract 98; San Bernardino County; California,5318,31027,695,1017,06,071,009800,1712,0.5940420560747663,1.0,5318.0,35,census_api
Census Tract 99.06; San Bernardino County; California,6196,71630,1147,455,06,071,009906,1602,0.284019975031211,1.0,6196.0,35,census_api
Census Tract 99.08; San Bernardino County; California,4712,72538,930,400,06,071,009908,1330,0.3007518796992481,1.0,4712.0,35,census_api
Census Tract 99.10; San Bernardino County; California,5161,69508,991,415,06,071,009910,1406,0.2951635846372688,1.0,5161.0,35,census_api
Census Tract 99.11; San Bernardino County; California,8292,73365,1368,630,06,071,009911,1998,0.3153153153153153,1.0,8292.0,35,census_api
Census Tract 99.12; San Bernardino County; California,5954,36048,700,1255,06,071,009912,1955,0.6419437340153452,1.0,5954.0,35,census_api
Census Tract 99.13; San Bernardino County; California,6691,55638,812,989,06,071,009913,1801,0.5491393670183231,1.0,6691.0,35,census_api
Census Tract 99.14; San Bernardino County; California,2685,35956,98,955,06,071,009914,1053,0.9069325735992403,1.0,2685.0,35,census_api
Census Tract 99.15; San Bernardino County; California,3953,85400,857,45,06,071,009915,902,0.04988913525498891,1.0,3953.0,35,census_api
Census Tract 99.16; San Bernardino County; California,5533,53631,929,607,06,071,009916,1536,0.3951822916666667,1.0,5533.0,35,census_api
Census Tract 99.17; San Bernardino County; California,6506,53520,823,1197,06,071,009917,2020,0.5925742574257425,1.0,6506.0,35,census_api
Census Tract 99.18; San Bernardino County; California,3106,-666666666,500,598,06,071,009918,1098,0.5446265938069217,1.0,3106.0,35,census_api
Census Tract 100.09; San Bernardino County; California,4906,85732,1024,510,06,071,010009,1534,0.3324641460234681,1.0,4906.0,35,census_api
Census Tract 100.10; San Bernardino County; California,7039,62202,1137,828,06,071,010010,1965,0.4213740458015267,1.0,7039.0,35,census_api
Census Tract 100.11; San Bernardino County; California,5022,60568,776,632,06,071,010011,1408,0.44886363636363635,1.0,5022.0,35,census_api
Census Tract 100.12; San Bernardino County; California,4424,60969,1021,418,06,071,010012,1439,0.2904794996525365,1.0,4424.0,35,census_api
Census Tract 100.14; San Bernardino County; California,5979,40923,565,1020,06,071,010014,1585,0.6435331230283912,1.0,5979.0,35,census_api
Census Tract 100.15; San Bernardino County; California,5912,75688,961,542,06,071,010015,1503,0.3606121091151031,1.0,5912.0,35,census_api
Census Tract 100.16; San Bernardino County; California,7537,65829,1017,822,06,071,010016,1839,0.4469820554649266,1.0,7537.0,35,census_api
Census Tract 100.19; San Bernardino County; California,5555,62520,1170,482,06,071,010019,1652,0.2917675544794189,1.0,5555.0,35,census_api
Census Tract 100.21; San Bernardino County; California,8211,80411,2036,586,06,071,010021,2622,0.2234935163996949,1.0,8211.0,35,census_api
Census Tract 100.22; San Bernardino County; California,4497,59391,936,469,06,071,010022,1405,0.33380782918149465,1.0,4497.0,35,census_api
Census Tract 100.23; San Bernardino County; California,6235,68625,1289,557,06,071,010023,1846,0.3017334777898158,1.0,6235.0,35,census_api
Census Tract 100.24; San Bernardino County; California,5125,64899,1435,214,06,071,010024,1649,0.12977562158884173,1.0,5125.0,35,census_api
Census Tract 100.27; San Bernardino County; California,4234,77076,939,443,06,071,010027,1382,0.32054992764109985,1.0,4234.0,35,census_api
Census Tract 100.28; San Bernardino County; California,5570,70603,932,582,06,071,010028,1514,0.3844121532364597,1.0,5570.0,35,census_api
Census Tract 100.29; San Bernardino County; California,4018,69722,916,186,06,071,010029,1102,0.16878402903811252,1.0,4018.0,35,census_api
Census Tract 100.30; San Bernardino County; California,2889,90111,688,116,06,071,010030,804,0.14427860696517414,1.0,2889.0,35,census_api
Census Tract 100.31; San Bernardino County; California,4908,86528,766,660,06,071,010031,1426,0.4628330995792426,1.0,4908.0,35,census_api
Census Tract 100.32; San Bernardino County; California,5672,62899,734,1159,06,071,010032,1893,0.6122556788166931,1.0,5672.0,35,census_api
Census Tract 100.33; San Bernardino County; California,2135,22115,126,678,06,071,010033,804,0.8432835820895522,1.0,2135.0,35,census_api
Census Tract 100.34; San Bernardino County; California,4720,81154,1197,263,06,071,010034,1460,0.18013698630136987,1.0,4720.0,35,census_api
Census Tract 100.35; San Bernardino County; California,4002,43393,552,430,06,071,010035,982,0.4378818737270876,1.0,4002.0,35,census_api
Census Tract 100.36; San Bernardino County; California,5277,49109,845,806,06,071,010036,1651,0.4881889763779528,1.0,5277.0,35,census_api
Census Tract 100.37; San Bernardino County; California,7225,58691,1130,1292,06,071,010037,2422,0.5334434351775392,1.0,7225.0,35,census_api
Census Tract 100.38; San Bernardino County; California,4953,67566,1275,408,06,071,010038,1683,0.24242424242424243,1.0,4953.0,35,census_api
Census Tract 100.39; San Bernardino County; California,2937,75577,914,148,06,071,010039,1062,0.1393596986817326,1.0,2937.0,35,census_api
Census Tract 100.40; San Bernardino County; California,1710,185128,484,89,06,071,010040,573,0.15532286212914484,1.0,1710.0,35,census_api
Census Tract 100.41; San Bernardino County; California,5252,107673,1313,219,06,071,010041,1532,0.1429503916449086,1.0,5252.0,35,census_api
Census Tract 100.42; San Bernardino County; California,4428,96994,834,236,06,071,010042,1070,0.2205607476635514,1.0,4428.0,35,census_api
Census Tract 103; San Bernardino County; California,3357,51643,778,534,06,071,010300,1312,0.4070121951219512,1.0,3357.0,35,census_api
Census Tract 104.02; San Bernardino County; California,11327,53167,29,2112,06,071,010402,2141,0.9864549276039234,1.0,11327.0,35,census_api
Census Tract 104.10; San Bernardino County; California,2885,43472,915,457,06,071,010410,1372,0.33309037900874633,1.0,2885.0,35,census_api
Census Tract 104.13; San Bernardino County; California,6921,46875,1688,925,06,071,010413,2613,0.35399923459624955,1.0,6921.0,35,census_api
Census Tract 104.15; San Bernardino County; California,5968,60109,1176,1199,06,071,010415,2375,0.5048421052631579,1.0,5968.0,35,census_api
Census Tract 104.17; San Bernardino County; California,3160,44600,1001,413,06,071,010417,1414,0.29207920792079206,1.0,3160.0,35,census_api
Census Tract 104.19; San Bernardino County; California,3906,72739,1212,389,06,071,010419,1601,0.24297314178638352,1.0,3906.0,35,census_api
Census Tract 104.20; San Bernardino County; California,3953,45280,898,643,06,071,010420,1541,0.4172615184944841,1.0,3953.0,35,census_api
Census Tract 104.22; San Bernardino County; California,1789,61346,327,369,06,071,010422,696,0.5301724137931034,1.0,1789.0,35,census_api
Census Tract 104.24; San Bernardino County; California,1966,45673,664,343,06,071,010424,1007,0.34061569016881826,1.0,1966.0,35,census_api
Census Tract 104.25; San Bernardino County; California,777,46359,364,57,06,071,010425,421,0.13539192399049882,1.0,777.0,35,census_api
Census Tract 104.26; San Bernardino County; California,2230,58813,603,306,06,071,010426,909,0.33663366336633666,1.0,2230.0,35,census_api
Census Tract 104.27; San Bernardino County; California,2900,29484,773,703,06,071,010427,1476,0.47628726287262874,1.0,2900.0,35,census_api
Census Tract 104.28; San Bernardino County; California,3585,50833,1013,531,06,071,010428,1544,0.3439119170984456,1.0,3585.0,35,census_api
Census Tract 104.29; San Bernardino County; California,4342,70889,1134,434,06,071,010429,1568,0.2767857142857143,1.0,4342.0,35,census_api
Census Tract 104.30; San Bernardino County; California,3514,84755,1013,209,06,071,010430,1222,0.17103109656301146,1.0,3514.0,35,census_api
Census Tract 104.31; San Bernardino County; California,1791,56167,461,159,06,071,010431,620,0.2564516129032258,1.0,1791.0,35,census_api
Census Tract 104.32; San Bernardino County; California,1712,52292,564,122,06,071,010432,686,0.17784256559766765,1.0,1712.0,35,census_api
Census Tract 104.33; San Bernardino County; California,4680,41795,372,1805,06,071,010433,2177,0.8291226458429031,1.0,4680.0,35,census_api
Census Tract 104.34; San Bernardino County; California,1343,65200,285,383,06,071,010434,668,0.5733532934131736,1.0,1343.0,35,census_api
Census Tract 104.35; San Bernardino County; California,2175,38108,837,145,06,071,010435,982,0.14765784114052954,1.0,2175.0,35,census_api
Census Tract 104.36; San Bernardino County; California,1083,40255,426,76,06,071,010436,502,0.15139442231075698,1.0,1083.0,35,census_api
Census Tract 107; San Bernardino County; California,3724,35453,820,699,06,071,010700,1519,0.46017116524028967,1.0,3724.0,35,census_api
Census Tract 108.03; San Bernardino County; California,2909,75294,957,301,06,071,010803,1258,0.23926868044515104,1.0,2909.0,35,census_api
Census Tract 108.04; San Bernardino County; California,2143,80441,790,150,06,071,010804,940,0.1595744680851064,1.0,2143.0,35,census_api
Census Tract 108.05; San Bernardino County; California,2548,77115,545,255,06,071,010805,800,0.31875,1.0,2548.0,35,census_api
Census Tract 108.06; San Bernardino County; California,2843,76535,808,272,06,071,010806,1080,0.2518518518518518,1.0,2843.0,35,census_api
Census Tract 109.03; San Bernardino County; California,2160,116250,674,136,06,071,010903,810,0.16790123456790124,1.0,2160.0,35,census_api
Census Tract 109.04; San Bernardino County; California,2423,81005,715,301,06,071,010904,1016,0.296259842519685,1.0,2423.0,35,census_api
Census Tract 109.05; San Bernardino County; California,1655,101490,683,31,06,071,010905,714,0.04341736694677871,1.0,1655.0,35,census_api
Census Tract 109.06; San Bernardino County; California,829,53191,359,26,06,071,010906,385,0.06753246753246753,1.0,829.0,35,census_api
Census Tract 110.02; San Bernardino County; California,1303,102768,443,58,06,071,011002,501,0.1157684630738523,1.0,1303.0,35,census_api
