business_id,business_name,rating,review_count,latitude,longitude,address,city,zip_code,price,is_closed,data_source
7nzbZkaPlJsdFhGzKCQXIg,Mountain Coin Laundry,4.5,61,34.095372,-117.67053,141 N Mountain Ave,Upland,91786,,False,yelp_api
Q0IMZfXDBzvgKYldsgiLoA,San Antonio Coin Laundry,4.4,113,34.09578,-117.66118,177 N San Antonio Ave,Upland,91786,$,False,yelp_api
ieRZYB92Eux9b6gLI9EO-Q,9th St Coin Laundry,3.8,55,34.096229,-117.6475639,271 E 9th St,Upland,91786,$,False,yelp_api
m27im5RoUaa7nuzsVqc7Jw,Coin Laundry,3.0,41,34.10549009698358,-117.67203731358823,1256 W Foothill Blvd,Upland,91786,$,False,yelp_api
MJ7eOf3qvWVk4KoJ3VlutQ,Suds and Bubbles Laundry Services,4.2,203,34.0194708,-117.7017356,4726 Riverside Dr,Chino,91710,$,False,yelp_api
fZMcwXhETK02xUI0yRW7fA,Super Clean Laundry,4.7,327,34.076915,-117.668535,1008 N Mountain Ave,Ontario,91762,$,False,yelp_api
6ZQ5GYvzB0jVgmCn08Mdtg,Infinity Laundry,4.5,12,34.118321389540995,-117.77823654361607,1345 Foothill Blvd,La Verne,91750,,False,yelp_api
G2zuYT86Tmb98kQSBtVaIA,McClean,4.5,126,34.106431,-117.746821,3270 N Garey,Pomona,91767,,False,yelp_api
EHxE_FVNr-eYbZwwy_H13g,Miller's Claremont Laundry & Dry Cleaning,4.0,61,34.09621269262893,-117.7191036619889,232 N Indian Hill Blvd,Claremont,91711,$$,False,yelp_api
UCrkkM6wYbzRH0Ltu-d1Yg,Vineyard Coin Laundry/ Lavanderia,4.1,52,34.078679,-117.610286,1931 E 4th St,Ontario,91764,,False,yelp_api
5OEzQS7NZNV7rLwwrzF5Mw,Laundry Express Coin Wash,4.1,36,34.129396,-117.84867,947 E Rt 66,Glendora,91740,$$$,False,yelp_api
EsfQ3XJ7bUpToQ--0PZ5wA,Laundry Land,4.2,13,34.091766,-117.434639,8913 Sierra Ave,Fontana,92335,$,False,yelp_api
dV0ZO54tj1AE-cbhHwo-tw,Neighborhood Laundry,4.3,14,34.0675403,-117.7190751,810 Indian Hill Blvd,Pomona,91767,,False,yelp_api
8SDIPfZYG72gQhvFqiM0sQ,Aztec  Laundry,4.2,31,34.088633,-118.214661,3520 N Figueroa St,Los Angeles,90065,,False,yelp_api
MYC8ySLMubSCx86E6oYS7g,Frantz Cleaners,3.7,68,34.0724601745605,-117.751983642578,1490 N Garey Ave,Pomona,91767,$,False,yelp_api
