tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 416; Travis County; Texas,8459,65545,1574,1612,48,453,041600,3186,0.5059635907093534,1.0,8459.0,35,census_api
Census Tract 417; Travis County; Texas,2666,105703,854,230,48,453,041700,1084,0.21217712177121772,1.0,2666.0,35,census_api
Census Tract 418; Travis County; Texas,3947,68457,601,1197,48,453,041800,1798,0.6657397107897665,1.0,3947.0,35,census_api
Census Tract 419; Travis County; Texas,3283,68494,946,791,48,453,041900,1737,0.45538284398388024,1.0,3283.0,35,census_api
Census Tract 420; Travis County; Texas,2681,128344,1101,84,48,453,042000,1185,0.07088607594936709,1.0,2681.0,35,census_api
Census Tract 421; Travis County; Texas,4956,83900,887,1293,48,453,042100,2180,0.5931192660550458,1.0,4956.0,35,census_api
Census Tract 422; Travis County; Texas,3941,60909,399,1729,48,453,042200,2128,0.8125,1.0,3941.0,35,census_api
Census Tract 423; Travis County; Texas,3858,112917,1141,440,48,453,042300,1581,0.2783048703352309,1.0,3858.0,35,census_api
Census Tract 424; Travis County; Texas,11382,124857,3785,385,48,453,042400,4170,0.09232613908872901,1.0,11382.0,35,census_api
Census Tract 425; Travis County; Texas,7105,121433,2085,308,48,453,042500,2393,0.1287087338069369,1.0,7105.0,35,census_api
Census Tract 426; Travis County; Texas,3742,56387,845,915,48,453,042600,1760,0.5198863636363636,1.0,3742.0,35,census_api
Census Tract 427; Travis County; Texas,4984,99213,1566,223,48,453,042700,1789,0.12465064281721633,1.0,4984.0,35,census_api
Census Tract 428; Travis County; Texas,8274,117816,1521,1166,48,453,042800,2687,0.43394119836248607,1.0,8274.0,35,census_api
Census Tract 429; Travis County; Texas,3241,48263,0,1903,48,453,042900,1903,1.0,1.0,3241.0,35,census_api
Census Tract 430; Travis County; Texas,3481,56743,293,1640,48,453,043000,1933,0.8484221417485773,1.0,3481.0,35,census_api
Census Tract 431; Travis County; Texas,2307,47788,286,751,48,453,043100,1037,0.7242044358727098,1.0,2307.0,35,census_api
Census Tract 432; Travis County; Texas,3350,36117,282,1106,48,453,043200,1388,0.7968299711815562,1.0,3350.0,35,census_api
Census Tract 433; Travis County; Texas,4086,40260,345,1017,48,453,043300,1362,0.7466960352422908,1.0,4086.0,35,census_api
Census Tract 434; Travis County; Texas,5355,62283,144,2148,48,453,043400,2292,0.93717277486911,1.0,5355.0,35,census_api
Census Tract 435; Travis County; Texas,7129,81647,1351,1467,48,453,043500,2818,0.5205819730305181,1.0,7129.0,35,census_api
Census Tract 436; Travis County; Texas,4599,72917,538,1299,48,453,043600,1837,0.7071311921611323,1.0,4599.0,35,census_api
Census Tract 437; Travis County; Texas,2537,99495,286,925,48,453,043700,1211,0.763831544178365,1.0,2537.0,35,census_api
Census Tract 438; Travis County; Texas,3644,93006,1107,398,48,453,043800,1505,0.2644518272425249,1.0,3644.0,35,census_api
Census Tract 439; Travis County; Texas,7551,83329,1407,1905,48,453,043900,3312,0.5751811594202898,1.0,7551.0,35,census_api
Census Tract 440; Travis County; Texas,5366,59389,447,987,48,453,044000,1434,0.6882845188284519,1.0,5366.0,35,census_api
Census Tract 441; Travis County; Texas,2852,80955,484,669,48,453,044100,1153,0.5802254986990459,1.0,2852.0,35,census_api
Census Tract 442; Travis County; Texas,5684,71318,527,2298,48,453,044200,2825,0.8134513274336284,1.0,5684.0,35,census_api
Census Tract 443; Travis County; Texas,6896,95423,1518,671,48,453,044300,2189,0.3065326633165829,1.0,6896.0,35,census_api
Census Tract 444; Travis County; Texas,5946,112382,1436,616,48,453,044400,2052,0.3001949317738791,1.0,5946.0,35,census_api
Census Tract 445; Travis County; Texas,5274,89350,1454,217,48,453,044500,1671,0.1298623578695392,1.0,5274.0,35,census_api
Census Tract 446; Travis County; Texas,4334,82361,1210,237,48,453,044600,1447,0.16378714581893572,1.0,4334.0,35,census_api
Census Tract 447; Travis County; Texas,1969,76639,462,136,48,453,044700,598,0.22742474916387959,1.0,1969.0,35,census_api
Census Tract 448; Travis County; Texas,4206,82978,1265,358,48,453,044800,1623,0.22057917436845348,1.0,4206.0,35,census_api
Census Tract 449; Travis County; Texas,10977,65290,2769,942,48,453,044900,3711,0.253839935327405,1.0,10977.0,35,census_api
Census Tract 450; Travis County; Texas,2437,86643,662,552,48,453,045000,1214,0.4546952224052718,1.0,2437.0,35,census_api
Census Tract 451; Travis County; Texas,3250,103715,532,939,48,453,045100,1471,0.6383412644459552,1.0,3250.0,35,census_api
Census Tract 452; Travis County; Texas,3930,118620,1043,666,48,453,045200,1709,0.38970157987126974,1.0,3930.0,35,census_api
Census Tract 453; Travis County; Texas,4108,73318,75,2471,48,453,045300,2546,0.9705420267085625,1.0,4108.0,35,census_api
Census Tract 454; Travis County; Texas,6281,108666,0,4547,48,453,045400,4547,1.0,1.0,6281.0,35,census_api
Census Tract 455; Travis County; Texas,4594,70181,408,1569,48,453,045500,1977,0.7936267071320182,1.0,4594.0,35,census_api
Census Tract 456; Travis County; Texas,5088,128893,1088,1024,48,453,045600,2112,0.48484848484848486,1.0,5088.0,35,census_api
Census Tract 457; Travis County; Texas,3361,69466,531,1041,48,453,045700,1572,0.6622137404580153,1.0,3361.0,35,census_api
Census Tract 458; Travis County; Texas,4391,75994,954,85,48,453,045800,1039,0.08180943214629452,1.0,4391.0,35,census_api
Census Tract 459; Travis County; Texas,13357,98170,3443,361,48,453,045900,3804,0.09490010515247109,1.0,13357.0,35,census_api
Census Tract 460; Travis County; Texas,4823,115950,914,579,48,453,046000,1493,0.38780977896851976,1.0,4823.0,35,census_api
Census Tract 461; Travis County; Texas,5573,110517,1573,883,48,453,046100,2456,0.35952768729641693,1.0,5573.0,35,census_api
Census Tract 462; Travis County; Texas,7100,125559,1520,1016,48,453,046200,2536,0.40063091482649843,1.0,7100.0,35,census_api
Census Tract 463; Travis County; Texas,1936,123061,535,139,48,453,046300,674,0.2062314540059347,1.0,1936.0,35,census_api
Census Tract 464; Travis County; Texas,3248,109951,1169,248,48,453,046400,1417,0.17501764290755117,1.0,3248.0,35,census_api
Census Tract 465; Travis County; Texas,3455,67964,453,1019,48,453,046500,1472,0.6922554347826086,1.0,3455.0,35,census_api
Census Tract 466; Travis County; Texas,11233,126995,2723,194,48,453,046600,2917,0.0665066849502914,1.0,11233.0,35,census_api
Census Tract 467; Travis County; Texas,3572,160302,1038,81,48,453,046700,1119,0.07238605898123325,1.0,3572.0,35,census_api
Census Tract 468; Travis County; Texas,11450,152356,3026,549,48,453,046800,3575,0.15356643356643357,1.0,11450.0,35,census_api
Census Tract 469; Travis County; Texas,8199,141797,2350,537,48,453,046900,2887,0.18600623484586076,1.0,8199.0,35,census_api
Census Tract 470; Travis County; Texas,1455,153358,471,8,48,453,047000,479,0.016701461377870562,1.0,1455.0,35,census_api
