tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 23.22; Travis County; Texas,2254,65977,70,1347,48,453,002322,1417,0.9505998588567396,1.0,2254.0,35,census_api
Census Tract 23.23; Travis County; Texas,4569,51091,352,1293,48,453,002323,1645,0.7860182370820669,1.0,4569.0,35,census_api
Census Tract 23.24; Travis County; Texas,1247,-666666666,0,439,48,453,002324,439,1.0,1.0,1247.0,35,census_api
Census Tract 23.25; Travis County; Texas,4085,65179,743,684,48,453,002325,1427,0.4793272599859846,1.0,4085.0,35,census_api
Census Tract 23.26; Travis County; Texas,903,39444,45,361,48,453,002326,406,0.8891625615763546,1.0,903.0,35,census_api
Census Tract 23.27; Travis County; Texas,4874,25900,192,1914,48,453,002327,2106,0.9088319088319088,1.0,4874.0,35,census_api
Census Tract 24.03; Travis County; Texas,2353,80539,586,585,48,453,002403,1171,0.4995730145175064,1.0,2353.0,35,census_api
Census Tract 24.07; Travis County; Texas,8665,76875,1772,2305,48,453,002407,4077,0.5653666911945058,1.0,8665.0,35,census_api
Census Tract 24.09; Travis County; Texas,3360,107589,917,522,48,453,002409,1439,0.3627519110493398,1.0,3360.0,35,census_api
Census Tract 24.10; Travis County; Texas,3816,61049,597,1232,48,453,002410,1829,0.6735921268452706,1.0,3816.0,35,census_api
Census Tract 24.11; Travis County; Texas,5796,50347,736,867,48,453,002411,1603,0.5408608858390518,1.0,5796.0,35,census_api
Census Tract 24.12; Travis County; Texas,5173,78924,999,472,48,453,002412,1471,0.32087015635622024,1.0,5173.0,35,census_api
Census Tract 24.13; Travis County; Texas,3366,45733,281,831,48,453,002413,1112,0.7473021582733813,1.0,3366.0,35,census_api
Census Tract 24.19; Travis County; Texas,3927,47378,14,1791,48,453,002419,1805,0.9922437673130194,1.0,3927.0,35,census_api
Census Tract 24.22; Travis County; Texas,8141,82326,1786,1644,48,453,002422,3430,0.4793002915451895,1.0,8141.0,35,census_api
Census Tract 24.23; Travis County; Texas,6261,110368,1932,869,48,453,002423,2801,0.3102463405926455,1.0,6261.0,35,census_api
Census Tract 24.24; Travis County; Texas,3548,64136,853,823,48,453,002424,1676,0.49105011933174225,1.0,3548.0,35,census_api
Census Tract 24.30; Travis County; Texas,1962,97012,500,184,48,453,002430,684,0.26900584795321636,1.0,1962.0,35,census_api
Census Tract 24.32; Travis County; Texas,5153,127989,1329,377,48,453,002432,1706,0.22098475967174677,1.0,5153.0,35,census_api
Census Tract 24.34; Travis County; Texas,1997,71116,519,70,48,453,002434,589,0.11884550084889643,1.0,1997.0,35,census_api
Census Tract 24.36; Travis County; Texas,2727,56125,741,118,48,453,002436,859,0.13736903376018628,1.0,2727.0,35,census_api
Census Tract 24.37; Travis County; Texas,4899,94615,618,2214,48,453,002437,2832,0.7817796610169492,1.0,4899.0,35,census_api
Census Tract 24.38; Travis County; Texas,7026,71356,1331,1947,48,453,002438,3278,0.5939597315436241,1.0,7026.0,35,census_api
Census Tract 24.39; Travis County; Texas,2876,93322,1025,156,48,453,002439,1181,0.13209144792548688,1.0,2876.0,35,census_api
Census Tract 24.40; Travis County; Texas,6544,86413,1540,800,48,453,002440,2340,0.3418803418803419,1.0,6544.0,35,census_api
Census Tract 24.41; Travis County; Texas,5581,68115,972,1144,48,453,002441,2116,0.5406427221172023,1.0,5581.0,35,census_api
Census Tract 24.42; Travis County; Texas,2935,95013,921,170,48,453,002442,1091,0.15582034830430797,1.0,2935.0,35,census_api
Census Tract 24.43; Travis County; Texas,4050,68483,248,2161,48,453,002443,2409,0.8970527189705272,1.0,4050.0,35,census_api
Census Tract 24.44; Travis County; Texas,4230,68516,1039,863,48,453,002444,1902,0.453732912723449,1.0,4230.0,35,census_api
Census Tract 24.45; Travis County; Texas,7136,84511,1985,1012,48,453,002445,2997,0.337671004337671,1.0,7136.0,35,census_api
Census Tract 24.46; Travis County; Texas,1623,148611,642,74,48,453,002446,716,0.10335195530726257,1.0,1623.0,35,census_api
Census Tract 24.47; Travis County; Texas,3288,109117,586,293,48,453,002447,879,0.3333333333333333,1.0,3288.0,35,census_api
Census Tract 24.48; Travis County; Texas,7782,105620,2479,228,48,453,002448,2707,0.0842260805319542,1.0,7782.0,35,census_api
Census Tract 24.49; Travis County; Texas,7203,94327,1955,320,48,453,002449,2275,0.14065934065934066,1.0,7203.0,35,census_api
Census Tract 24.50; Travis County; Texas,3877,76536,723,256,48,453,002450,979,0.26149131767109296,1.0,3877.0,35,census_api
Census Tract 24.51; Travis County; Texas,7535,78457,932,2620,48,453,002451,3552,0.7376126126126126,1.0,7535.0,35,census_api
Census Tract 24.52; Travis County; Texas,3098,61042,875,150,48,453,002452,1025,0.14634146341463414,1.0,3098.0,35,census_api
Census Tract 24.53; Travis County; Texas,5475,85490,1466,292,48,453,002453,1758,0.16609783845278725,1.0,5475.0,35,census_api
Census Tract 25; Travis County; Texas,6052,88571,964,1878,48,453,002500,2842,0.6608022519352569,1.0,6052.0,35,census_api
Census Tract 300; Travis County; Texas,4279,155608,1343,573,48,453,030000,1916,0.2990605427974948,1.0,4279.0,35,census_api
Census Tract 301; Travis County; Texas,3494,93782,1163,673,48,453,030100,1836,0.36655773420479304,1.0,3494.0,35,census_api
Census Tract 302; Travis County; Texas,5039,72069,1318,1321,48,453,030200,2639,0.5005683971201212,1.0,5039.0,35,census_api
Census Tract 303; Travis County; Texas,4298,80417,1050,890,48,453,030300,1940,0.4587628865979381,1.0,4298.0,35,census_api
Census Tract 304; Travis County; Texas,4451,99726,1171,1029,48,453,030400,2200,0.4677272727272727,1.0,4451.0,35,census_api
Census Tract 305; Travis County; Texas,6951,129435,1858,1523,48,453,030500,3381,0.4504584442472641,1.0,6951.0,35,census_api
Census Tract 306; Travis County; Texas,5820,87336,1450,1732,48,453,030600,3182,0.5443117536140792,1.0,5820.0,35,census_api
Census Tract 307; Travis County; Texas,4028,157500,1642,138,48,453,030700,1780,0.07752808988764046,1.0,4028.0,35,census_api
Census Tract 308; Travis County; Texas,4429,82419,418,2171,48,453,030800,2589,0.8385477018153727,1.0,4429.0,35,census_api
Census Tract 309; Travis County; Texas,7581,103846,2135,1035,48,453,030900,3170,0.3264984227129338,1.0,7581.0,35,census_api
Census Tract 310; Travis County; Texas,4342,89205,1394,892,48,453,031000,2286,0.3902012248468941,1.0,4342.0,35,census_api
Census Tract 311; Travis County; Texas,5101,142917,1632,106,48,453,031100,1738,0.06098964326812428,1.0,5101.0,35,census_api
Census Tract 312; Travis County; Texas,6548,146835,2338,419,48,453,031200,2757,0.15197678636198766,1.0,6548.0,35,census_api
Census Tract 313; Travis County; Texas,3918,122750,971,887,48,453,031300,1858,0.4773950484391819,1.0,3918.0,35,census_api
Census Tract 314; Travis County; Texas,4387,77391,1476,550,48,453,031400,2026,0.2714708785784798,1.0,4387.0,35,census_api
Census Tract 315; Travis County; Texas,7204,123587,2313,681,48,453,031500,2994,0.22745490981963928,1.0,7204.0,35,census_api
Census Tract 316; Travis County; Texas,2237,131389,647,323,48,453,031600,970,0.33298969072164947,1.0,2237.0,35,census_api
Census Tract 317; Travis County; Texas,4729,88625,1134,889,48,453,031700,2023,0.43944636678200694,1.0,4729.0,35,census_api
Census Tract 318; Travis County; Texas,4499,69375,945,984,48,453,031800,1929,0.5101088646967341,1.0,4499.0,35,census_api
Census Tract 319; Travis County; Texas,5231,101555,1618,563,48,453,031900,2181,0.2581384685923888,1.0,5231.0,35,census_api
Census Tract 320; Travis County; Texas,6303,90444,817,2115,48,453,032000,2932,0.7213506139154161,1.0,6303.0,35,census_api
Census Tract 321; Travis County; Texas,5181,84194,939,2143,48,453,032100,3082,0.6953277092796886,1.0,5181.0,35,census_api
Census Tract 322; Travis County; Texas,2047,187500,790,104,48,453,032200,894,0.116331096196868,1.0,2047.0,35,census_api
Census Tract 323; Travis County; Texas,4160,46500,74,2672,48,453,032300,2746,0.9730517115804806,1.0,4160.0,35,census_api
Census Tract 324; Travis County; Texas,1537,87663,11,1060,48,453,032400,1071,0.9897292250233427,1.0,1537.0,35,census_api
Census Tract 325; Travis County; Texas,4638,77481,1142,1071,48,453,032500,2213,0.4839584274740172,1.0,4638.0,35,census_api
Census Tract 326; Travis County; Texas,6080,192986,2111,92,48,453,032600,2203,0.04176123467998184,1.0,6080.0,35,census_api
Census Tract 327; Travis County; Texas,4430,132383,1485,326,48,453,032700,1811,0.1800110436223081,1.0,4430.0,35,census_api
Census Tract 328; Travis County; Texas,2738,109184,640,540,48,453,032800,1180,0.4576271186440678,1.0,2738.0,35,census_api
Census Tract 329; Travis County; Texas,8143,147904,2155,1102,48,453,032900,3257,0.3383481731654897,1.0,8143.0,35,census_api
Census Tract 330; Travis County; Texas,7097,96887,1942,1196,48,453,033000,3138,0.3811344805608668,1.0,7097.0,35,census_api
Census Tract 331; Travis County; Texas,4853,156953,2004,99,48,453,033100,2103,0.047075606276747506,1.0,4853.0,35,census_api
Census Tract 332; Travis County; Texas,5256,119950,1460,400,48,453,033200,1860,0.21505376344086022,1.0,5256.0,35,census_api
Census Tract 333; Travis County; Texas,9180,193628,2891,270,48,453,033300,3161,0.08541600759253401,1.0,9180.0,35,census_api
Census Tract 334; Travis County; Texas,3300,89986,960,347,48,453,033400,1307,0.2654934965570008,1.0,3300.0,35,census_api
Census Tract 335; Travis County; Texas,5532,109583,1905,756,48,453,033500,2661,0.28410372040586246,1.0,5532.0,35,census_api
Census Tract 336; Travis County; Texas,4217,147098,1447,276,48,453,033600,1723,0.16018572257690075,1.0,4217.0,35,census_api
Census Tract 337; Travis County; Texas,2855,165000,792,270,48,453,033700,1062,0.2542372881355932,1.0,2855.0,35,census_api
Census Tract 338; Travis County; Texas,4479,202778,1440,162,48,453,033800,1602,0.10112359550561797,1.0,4479.0,35,census_api
Census Tract 339; Travis County; Texas,5626,165434,1786,231,48,453,033900,2017,0.11452652454139811,1.0,5626.0,35,census_api
Census Tract 340; Travis County; Texas,6908,134128,1588,1225,48,453,034000,2813,0.43547813722004974,1.0,6908.0,35,census_api
Census Tract 341; Travis County; Texas,6570,80645,590,2576,48,453,034100,3166,0.8136449778900822,1.0,6570.0,35,census_api
Census Tract 342; Travis County; Texas,6097,91908,360,2456,48,453,034200,2816,0.8721590909090909,1.0,6097.0,35,census_api
