tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 107.01; Santa Fe County; New Mexico,3226,98672,1504,83,35,049,010701,1587,0.05229993698802773,1.0,3226.0,35,census_api
Census Tract 107.02; Santa Fe County; New Mexico,1584,97167,568,124,35,049,010702,692,0.1791907514450867,1.0,1584.0,35,census_api
Census Tract 108; Santa Fe County; New Mexico,3217,77613,1256,234,35,049,010800,1490,0.15704697986577182,1.0,3217.0,35,census_api
Census Tract 109; Santa Fe County; New Mexico,3227,119432,996,197,35,049,010900,1193,0.16512992455993294,1.0,3227.0,35,census_api
Census Tract 9403; Santa Fe County; New Mexico,2223,62679,688,187,35,049,940300,875,0.21371428571428572,1.0,2223.0,35,census_api
Census Tract 9404; Santa Fe County; New Mexico,1977,56563,607,135,35,049,940400,742,0.18194070080862534,1.0,1977.0,35,census_api
Census Tract 9405; Santa Fe County; New Mexico,2148,42740,783,134,35,049,940500,917,0.14612868047982552,1.0,2148.0,35,census_api
Census Tract 9406; Santa Fe County; New Mexico,3684,62420,1125,438,35,049,940600,1563,0.2802303262955854,1.0,3684.0,35,census_api
Census Tract 9409; Santa Fe County; New Mexico,3136,45227,754,544,35,049,940900,1298,0.41910631741140214,1.0,3136.0,35,census_api
Census Tract 9800; Santa Fe County; New Mexico,861,-666666666,11,0,35,049,980000,11,0.0,1.0,861.0,35,census_api
Census Tract 9802; Santa Fe County; New Mexico,52,-666666666,0,23,35,049,980200,23,1.0,1.0,52.0,35,census_api
