tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 3.08; Miami-Dade County; Florida,4708,69924,1120,167,12,086,000308,1287,0.12975912975912976,1.0,4708.0,35,census_api
Census Tract 3.09; Miami-Dade County; Florida,3905,43839,154,912,12,086,000309,1066,0.8555347091932458,1.0,3905.0,35,census_api
Census Tract 3.10; Miami-Dade County; Florida,2967,50500,772,406,12,086,000310,1178,0.34465195246179964,1.0,2967.0,35,census_api
Census Tract 3.11; Miami-Dade County; Florida,4430,36822,812,451,12,086,000311,1263,0.3570863024544735,1.0,4430.0,35,census_api
Census Tract 3.12; Miami-Dade County; Florida,3638,40398,492,719,12,086,000312,1211,0.5937241948802643,1.0,3638.0,35,census_api
Census Tract 4.02; Miami-Dade County; Florida,4315,48796,796,494,12,086,000402,1290,0.3829457364341085,1.0,4315.0,35,census_api
Census Tract 4.05; Miami-Dade County; Florida,3796,56073,925,166,12,086,000405,1091,0.152153987167736,1.0,3796.0,35,census_api
Census Tract 4.08; Miami-Dade County; Florida,6253,43028,576,1215,12,086,000408,1791,0.678391959798995,1.0,6253.0,35,census_api
Census Tract 4.09; Miami-Dade County; Florida,4372,57000,488,712,12,086,000409,1200,0.5933333333333334,1.0,4372.0,35,census_api
Census Tract 4.10; Miami-Dade County; Florida,5146,56815,935,218,12,086,000410,1153,0.18907198612315698,1.0,5146.0,35,census_api
Census Tract 4.11; Miami-Dade County; Florida,6043,42594,643,1406,12,086,000411,2049,0.6861883845778428,1.0,6043.0,35,census_api
Census Tract 4.13; Miami-Dade County; Florida,5622,57500,1108,372,12,086,000413,1480,0.25135135135135134,1.0,5622.0,35,census_api
Census Tract 4.14; Miami-Dade County; Florida,5011,45740,601,1243,12,086,000414,1844,0.6740780911062907,1.0,5011.0,35,census_api
Census Tract 4.15; Miami-Dade County; Florida,2099,60893,475,190,12,086,000415,665,0.2857142857142857,1.0,2099.0,35,census_api
Census Tract 4.16; Miami-Dade County; Florida,4996,30585,705,1012,12,086,000416,1717,0.5894001164822364,1.0,4996.0,35,census_api
Census Tract 4.17; Miami-Dade County; Florida,4500,42665,597,1202,12,086,000417,1799,0.6681489716509171,1.0,4500.0,35,census_api
Census Tract 4.18; Miami-Dade County; Florida,3074,32276,526,472,12,086,000418,998,0.4729458917835671,1.0,3074.0,35,census_api
Census Tract 4.19; Miami-Dade County; Florida,3388,68873,570,469,12,086,000419,1039,0.45139557266602504,1.0,3388.0,35,census_api
Census Tract 4.20; Miami-Dade County; Florida,3231,43594,649,246,12,086,000420,895,0.2748603351955307,1.0,3231.0,35,census_api
Census Tract 5.04; Miami-Dade County; Florida,4913,45500,969,789,12,086,000504,1758,0.44880546075085326,1.0,4913.0,35,census_api
Census Tract 5.05; Miami-Dade County; Florida,5179,43426,646,1182,12,086,000505,1828,0.6466083150984683,1.0,5179.0,35,census_api
Census Tract 5.06; Miami-Dade County; Florida,2507,46850,583,157,12,086,000506,740,0.21216216216216216,1.0,2507.0,35,census_api
Census Tract 5.07; Miami-Dade County; Florida,4756,49792,444,731,12,086,000507,1175,0.6221276595744681,1.0,4756.0,35,census_api
Census Tract 5.08; Miami-Dade County; Florida,3907,25800,35,1423,12,086,000508,1458,0.97599451303155,1.0,3907.0,35,census_api
Census Tract 5.09; Miami-Dade County; Florida,3358,54677,684,468,12,086,000509,1152,0.40625,1.0,3358.0,35,census_api
