tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 49; Fulton County; Georgia,3082,87449,780,507,13,121,004900,1287,0.3939393939393939,1.0,3082.0,35,census_api
Census Tract 50; Fulton County; Georgia,3502,90188,464,1380,13,121,005000,1844,0.7483731019522777,1.0,3502.0,35,census_api
Census Tract 52; Fulton County; Georgia,4872,165815,1727,456,13,121,005200,2183,0.20888685295464957,1.0,4872.0,35,census_api
Census Tract 53; Fulton County; Georgia,4031,132979,1518,223,13,121,005300,1741,0.12808730614589317,1.0,4031.0,35,census_api
Census Tract 55.01; Fulton County; Georgia,3039,60313,479,564,13,121,005501,1043,0.5407478427612655,1.0,3039.0,35,census_api
Census Tract 55.03; Fulton County; Georgia,1505,19777,16,626,13,121,005503,642,0.9750778816199377,1.0,1505.0,35,census_api
Census Tract 55.04; Fulton County; Georgia,1344,51534,294,273,13,121,005504,567,0.48148148148148145,1.0,1344.0,35,census_api
Census Tract 57; Fulton County; Georgia,1248,40652,130,500,13,121,005700,630,0.7936507936507936,1.0,1248.0,35,census_api
Census Tract 58; Fulton County; Georgia,1208,64917,272,296,13,121,005800,568,0.5211267605633803,1.0,1208.0,35,census_api
Census Tract 60; Fulton County; Georgia,3408,58935,813,634,13,121,006000,1447,0.43814789219073946,1.0,3408.0,35,census_api
Census Tract 61; Fulton County; Georgia,3360,48627,925,530,13,121,006100,1455,0.3642611683848797,1.0,3360.0,35,census_api
Census Tract 62; Fulton County; Georgia,1509,60750,353,251,13,121,006200,604,0.4155629139072848,1.0,1509.0,35,census_api
Census Tract 63; Fulton County; Georgia,1750,40075,279,505,13,121,006300,784,0.6441326530612245,1.0,1750.0,35,census_api
Census Tract 64; Fulton County; Georgia,772,45781,155,227,13,121,006400,382,0.5942408376963351,1.0,772.0,35,census_api
Census Tract 65; Fulton County; Georgia,3420,70234,993,575,13,121,006500,1568,0.3667091836734694,1.0,3420.0,35,census_api
Census Tract 66.01; Fulton County; Georgia,1488,73304,402,337,13,121,006601,739,0.456021650879567,1.0,1488.0,35,census_api
Census Tract 66.02; Fulton County; Georgia,829,21346,110,248,13,121,006602,358,0.6927374301675978,1.0,829.0,35,census_api
Census Tract 67.01; Fulton County; Georgia,2816,27946,237,663,13,121,006701,900,0.7366666666666667,1.0,2816.0,35,census_api
Census Tract 67.02; Fulton County; Georgia,1744,55282,550,273,13,121,006702,823,0.33171324422843257,1.0,1744.0,35,census_api
Census Tract 68.02; Fulton County; Georgia,1521,16282,107,347,13,121,006802,454,0.76431718061674,1.0,1521.0,35,census_api
Census Tract 69; Fulton County; Georgia,3592,67425,918,715,13,121,006900,1633,0.4378444580526638,1.0,3592.0,35,census_api
Census Tract 70.01; Fulton County; Georgia,3284,33796,521,823,13,121,007001,1344,0.6123511904761905,1.0,3284.0,35,census_api
Census Tract 70.02; Fulton County; Georgia,3067,54217,612,531,13,121,007002,1143,0.4645669291338583,1.0,3067.0,35,census_api
Census Tract 71; Fulton County; Georgia,2391,29016,411,526,13,121,007100,937,0.5613660618996799,1.0,2391.0,35,census_api
Census Tract 72; Fulton County; Georgia,1833,53125,544,211,13,121,007200,755,0.27947019867549666,1.0,1833.0,35,census_api
Census Tract 73.01; Fulton County; Georgia,3827,43631,550,1127,13,121,007301,1677,0.6720333929636255,1.0,3827.0,35,census_api
Census Tract 73.02; Fulton County; Georgia,2447,22500,303,745,13,121,007302,1048,0.7108778625954199,1.0,2447.0,35,census_api
Census Tract 74; Fulton County; Georgia,3173,29162,249,796,13,121,007400,1045,0.7617224880382775,1.0,3173.0,35,census_api
Census Tract 75; Fulton County; Georgia,3072,21926,432,994,13,121,007500,1426,0.697054698457223,1.0,3072.0,35,census_api
Census Tract 76.02; Fulton County; Georgia,2828,45028,429,663,13,121,007602,1092,0.6071428571428571,1.0,2828.0,35,census_api
Census Tract 76.03; Fulton County; Georgia,3454,22250,95,1832,13,121,007603,1927,0.9507005708354956,1.0,3454.0,35,census_api
Census Tract 76.04; Fulton County; Georgia,3385,27215,95,1260,13,121,007604,1355,0.9298892988929889,1.0,3385.0,35,census_api
Census Tract 77.03; Fulton County; Georgia,3459,56063,863,638,13,121,007703,1501,0.42504996668887407,1.0,3459.0,35,census_api
Census Tract 77.05; Fulton County; Georgia,4250,35104,566,1655,13,121,007705,2221,0.7451598379108509,1.0,4250.0,35,census_api
Census Tract 77.07; Fulton County; Georgia,1931,70387,872,135,13,121,007707,1007,0.13406156901688182,1.0,1931.0,35,census_api
Census Tract 77.08; Fulton County; Georgia,3152,69799,627,749,13,121,007708,1376,0.5443313953488372,1.0,3152.0,35,census_api
Census Tract 77.09; Fulton County; Georgia,4347,80851,1082,819,13,121,007709,1901,0.43082588111520254,1.0,4347.0,35,census_api
Census Tract 77.10; Fulton County; Georgia,2988,52657,299,1337,13,121,007710,1636,0.8172371638141809,1.0,2988.0,35,census_api
Census Tract 77.11; Fulton County; Georgia,3037,39450,398,773,13,121,007711,1171,0.6601195559350982,1.0,3037.0,35,census_api
Census Tract 78.05; Fulton County; Georgia,4895,58028,458,1431,13,121,007805,1889,0.7575436739015352,1.0,4895.0,35,census_api
Census Tract 78.06; Fulton County; Georgia,5770,49652,1008,1308,13,121,007806,2316,0.5647668393782384,1.0,5770.0,35,census_api
Census Tract 78.07; Fulton County; Georgia,3916,39668,408,581,13,121,007807,989,0.5874620829120324,1.0,3916.0,35,census_api
Census Tract 78.08; Fulton County; Georgia,3278,15625,140,1040,13,121,007808,1180,0.8813559322033898,1.0,3278.0,35,census_api
Census Tract 78.09; Fulton County; Georgia,5009,61958,1279,346,13,121,007809,1625,0.2129230769230769,1.0,5009.0,35,census_api
Census Tract 78.10; Fulton County; Georgia,4239,53887,616,1453,13,121,007810,2069,0.7022716288061865,1.0,4239.0,35,census_api
Census Tract 79; Fulton County; Georgia,4971,87911,2023,308,13,121,007900,2331,0.13213213213213212,1.0,4971.0,35,census_api
Census Tract 80; Fulton County; Georgia,5628,45734,1461,1025,13,121,008000,2486,0.412308930008045,1.0,5628.0,35,census_api
Census Tract 81.03; Fulton County; Georgia,3498,32908,138,1371,13,121,008103,1509,0.9085487077534792,1.0,3498.0,35,census_api
Census Tract 81.04; Fulton County; Georgia,3215,49167,817,765,13,121,008104,1582,0.4835651074589128,1.0,3215.0,35,census_api
Census Tract 82.02; Fulton County; Georgia,2284,-666666666,445,434,13,121,008202,879,0.4937428896473265,1.0,2284.0,35,census_api
Census Tract 82.03; Fulton County; Georgia,2535,22088,398,827,13,121,008203,1225,0.6751020408163265,1.0,2535.0,35,census_api
Census Tract 82.04; Fulton County; Georgia,2763,47771,937,395,13,121,008204,1332,0.29654654654654655,1.0,2763.0,35,census_api
Census Tract 83.01; Fulton County; Georgia,2997,31543,492,632,13,121,008301,1124,0.5622775800711743,1.0,2997.0,35,census_api
Census Tract 83.02; Fulton County; Georgia,1831,-666666666,296,313,13,121,008302,609,0.5139573070607554,1.0,1831.0,35,census_api
Census Tract 84; Fulton County; Georgia,2805,-666666666,1063,570,13,121,008400,1633,0.3490508266993264,1.0,2805.0,35,census_api
Census Tract 85; Fulton County; Georgia,2258,47566,355,493,13,121,008500,848,0.5813679245283019,1.0,2258.0,35,census_api
Census Tract 86.01; Fulton County; Georgia,5555,32768,616,1536,13,121,008601,2152,0.7137546468401487,1.0,5555.0,35,census_api
Census Tract 86.02; Fulton County; Georgia,1298,40060,250,277,13,121,008602,527,0.5256166982922201,1.0,1298.0,35,census_api
Census Tract 87.01; Fulton County; Georgia,3833,47228,375,1006,13,121,008701,1381,0.7284576393917451,1.0,3833.0,35,census_api
Census Tract 87.02; Fulton County; Georgia,2290,77627,433,659,13,121,008702,1092,0.6034798534798534,1.0,2290.0,35,census_api
Census Tract 88.01; Fulton County; Georgia,1818,111157,550,205,13,121,008801,755,0.271523178807947,1.0,1818.0,35,census_api
Census Tract 88.02; Fulton County; Georgia,2815,198611,937,257,13,121,008802,1194,0.2152428810720268,1.0,2815.0,35,census_api
Census Tract 89.03; Fulton County; Georgia,2869,90492,541,806,13,121,008903,1347,0.5983667409057164,1.0,2869.0,35,census_api
Census Tract 89.05; Fulton County; Georgia,5268,121589,940,2264,13,121,008905,3204,0.7066167290886392,1.0,5268.0,35,census_api
Census Tract 89.06; Fulton County; Georgia,2432,200236,911,0,13,121,008906,911,0.0,1.0,2432.0,35,census_api
Census Tract 89.07; Fulton County; Georgia,2858,86111,810,788,13,121,008907,1598,0.493116395494368,1.0,2858.0,35,census_api
Census Tract 89.08; Fulton County; Georgia,2876,48952,124,1075,13,121,008908,1199,0.896580483736447,1.0,2876.0,35,census_api
Census Tract 89.09; Fulton County; Georgia,1635,128585,711,85,13,121,008909,796,0.10678391959798995,1.0,1635.0,35,census_api
Census Tract 90.01; Fulton County; Georgia,2264,80992,270,1112,13,121,009001,1382,0.804630969609262,1.0,2264.0,35,census_api
Census Tract 90.02; Fulton County; Georgia,2776,250001,891,45,13,121,009002,936,0.04807692307692308,1.0,2776.0,35,census_api
Census Tract 91.03; Fulton County; Georgia,3774,92522,985,1264,13,121,009103,2249,0.5620275678079146,1.0,3774.0,35,census_api
Census Tract 91.04; Fulton County; Georgia,2809,94306,937,855,13,121,009104,1792,0.4771205357142857,1.0,2809.0,35,census_api
Census Tract 91.05; Fulton County; Georgia,1169,250001,348,87,13,121,009105,435,0.2,1.0,1169.0,35,census_api
Census Tract 91.06; Fulton County; Georgia,2500,96274,544,903,13,121,009106,1447,0.6240497581202488,1.0,2500.0,35,census_api
Census Tract 92.01; Fulton County; Georgia,1504,58188,266,549,13,121,009201,815,0.6736196319018405,1.0,1504.0,35,census_api
Census Tract 92.02; Fulton County; Georgia,2816,101993,359,1256,13,121,009202,1615,0.7777089783281734,1.0,2816.0,35,census_api
Census Tract 92.03; Fulton County; Georgia,2768,81096,529,1324,13,121,009203,1853,0.7145169994603346,1.0,2768.0,35,census_api
Census Tract 93.01; Fulton County; Georgia,3871,129083,1360,301,13,121,009301,1661,0.18121613485851895,1.0,3871.0,35,census_api
Census Tract 93.02; Fulton County; Georgia,1967,148662,625,488,13,121,009302,1113,0.4384546271338724,1.0,1967.0,35,census_api
Census Tract 94.05; Fulton County; Georgia,3769,74424,76,2227,13,121,009405,2303,0.9669995657837603,1.0,3769.0,35,census_api
Census Tract 94.06; Fulton County; Georgia,1658,78365,315,993,13,121,009406,1308,0.7591743119266054,1.0,1658.0,35,census_api
Census Tract 94.07; Fulton County; Georgia,1090,93601,224,479,13,121,009407,703,0.6813655761024182,1.0,1090.0,35,census_api
Census Tract 94.08; Fulton County; Georgia,1648,52031,195,950,13,121,009408,1145,0.8296943231441049,1.0,1648.0,35,census_api
Census Tract 94.09; Fulton County; Georgia,2075,84886,351,543,13,121,009409,894,0.6073825503355704,1.0,2075.0,35,census_api
Census Tract 94.10; Fulton County; Georgia,3592,91622,502,853,13,121,009410,1355,0.629520295202952,1.0,3592.0,35,census_api
Census Tract 94.11; Fulton County; Georgia,2485,104779,1185,200,13,121,009411,1385,0.1444043321299639,1.0,2485.0,35,census_api
Census Tract 95.01; Fulton County; Georgia,3491,151404,1397,288,13,121,009501,1685,0.17091988130563798,1.0,3491.0,35,census_api
Census Tract 95.03; Fulton County; Georgia,1633,42832,435,792,13,121,009503,1227,0.6454767726161369,1.0,1633.0,35,census_api
Census Tract 95.04; Fulton County; Georgia,2683,92109,860,734,13,121,009504,1594,0.4604767879548306,1.0,2683.0,35,census_api
Census Tract 96.01; Fulton County; Georgia,3190,126875,588,1187,13,121,009601,1775,0.6687323943661971,1.0,3190.0,35,census_api
Census Tract 96.04; Fulton County; Georgia,2879,68302,807,999,13,121,009604,1806,0.553156146179402,1.0,2879.0,35,census_api
Census Tract 96.05; Fulton County; Georgia,2625,99375,260,1601,13,121,009605,1861,0.8602901665771091,1.0,2625.0,35,census_api
Census Tract 96.06; Fulton County; Georgia,1618,239511,502,55,13,121,009606,557,0.09874326750448834,1.0,1618.0,35,census_api
Census Tract 96.07; Fulton County; Georgia,4716,104017,942,1867,13,121,009607,2809,0.6646493414026344,1.0,4716.0,35,census_api
Census Tract 97; Fulton County; Georgia,3852,250001,1431,113,13,121,009700,1544,0.07318652849740932,1.0,3852.0,35,census_api
Census Tract 98.02; Fulton County; Georgia,3936,178594,1113,618,13,121,009802,1731,0.35701906412478335,1.0,3936.0,35,census_api
Census Tract 98.03; Fulton County; Georgia,2940,83015,707,894,13,121,009803,1601,0.5584009993753903,1.0,2940.0,35,census_api
Census Tract 98.04; Fulton County; Georgia,2436,250001,765,25,13,121,009804,790,0.03164556962025317,1.0,2436.0,35,census_api
Census Tract 99; Fulton County; Georgia,4966,180500,1457,627,13,121,009900,2084,0.3008637236084453,1.0,4966.0,35,census_api
Census Tract 100.03; Fulton County; Georgia,3698,137723,1460,754,13,121,010003,2214,0.3405600722673893,1.0,3698.0,35,census_api
Census Tract 100.04; Fulton County; Georgia,2221,241607,782,24,13,121,010004,806,0.02977667493796526,1.0,2221.0,35,census_api
Census Tract 100.05; Fulton County; Georgia,3154,250001,1113,22,13,121,010005,1135,0.019383259911894272,1.0,3154.0,35,census_api
Census Tract 100.06; Fulton County; Georgia,4057,102841,664,2085,13,121,010006,2749,0.7584576209530739,1.0,4057.0,35,census_api
Census Tract 100.07; Fulton County; Georgia,1850,224000,598,166,13,121,010007,764,0.21727748691099477,1.0,1850.0,35,census_api
Census Tract 101.06; Fulton County; Georgia,3674,92321,1027,722,13,121,010106,1749,0.4128073184676958,1.0,3674.0,35,census_api
Census Tract 101.07; Fulton County; Georgia,1935,250001,735,5,13,121,010107,740,0.006756756756756757,1.0,1935.0,35,census_api
Census Tract 101.08; Fulton County; Georgia,4615,144047,1399,442,13,121,010108,1841,0.2400869092884302,1.0,4615.0,35,census_api
Census Tract 101.15; Fulton County; Georgia,2764,164881,652,440,13,121,010115,1092,0.40293040293040294,1.0,2764.0,35,census_api
Census Tract 101.17; Fulton County; Georgia,4354,72000,571,1721,13,121,010117,2292,0.7508726003490401,1.0,4354.0,35,census_api
Census Tract 101.20; Fulton County; Georgia,2606,80515,730,670,13,121,010120,1400,0.4785714285714286,1.0,2606.0,35,census_api
Census Tract 101.21; Fulton County; Georgia,2407,111058,1102,348,13,121,010121,1450,0.24,1.0,2407.0,35,census_api
Census Tract 101.24; Fulton County; Georgia,2340,82743,347,812,13,121,010124,1159,0.7006039689387403,1.0,2340.0,35,census_api
Census Tract 101.25; Fulton County; Georgia,4207,75971,549,1282,13,121,010125,1831,0.7001638448935008,1.0,4207.0,35,census_api
Census Tract 101.26; Fulton County; Georgia,2399,86849,800,511,13,121,010126,1311,0.3897787948131198,1.0,2399.0,35,census_api
Census Tract 101.27; Fulton County; Georgia,2122,130431,658,322,13,121,010127,980,0.32857142857142857,1.0,2122.0,35,census_api
Census Tract 101.28; Fulton County; Georgia,1699,112941,188,578,13,121,010128,766,0.7545691906005222,1.0,1699.0,35,census_api
Census Tract 101.29; Fulton County; Georgia,4211,92763,698,1668,13,121,010129,2366,0.7049873203719358,1.0,4211.0,35,census_api
