tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 105.28; Fulton County; Georgia,4025,46431,485,1295,13,121,010528,1780,0.7275280898876404,1.0,4025.0,35,census_api
Census Tract 105.29; Fulton County; Georgia,5958,64936,1843,473,13,121,010529,2316,0.20423143350604492,1.0,5958.0,35,census_api
Census Tract 105.30; Fulton County; Georgia,3643,54726,634,757,13,121,010530,1391,0.5442127965492451,1.0,3643.0,35,census_api
Census Tract 105.31; Fulton County; Georgia,1929,66190,680,92,13,121,010531,772,0.11917098445595854,1.0,1929.0,35,census_api
Census Tract 105.32; Fulton County; Georgia,3007,42731,472,685,13,121,010532,1157,0.592048401037165,1.0,3007.0,35,census_api
Census Tract 105.33; Fulton County; Georgia,2176,52940,570,408,13,121,010533,978,0.4171779141104294,1.0,2176.0,35,census_api
Census Tract 105.34; Fulton County; Georgia,3526,68889,700,1026,13,121,010534,1726,0.5944380069524913,1.0,3526.0,35,census_api
Census Tract 105.35; Fulton County; Georgia,2674,137642,727,98,13,121,010535,825,0.11878787878787879,1.0,2674.0,35,census_api
Census Tract 105.36; Fulton County; Georgia,3239,114886,876,169,13,121,010536,1045,0.16172248803827752,1.0,3239.0,35,census_api
Census Tract 105.37; Fulton County; Georgia,4243,83291,894,351,13,121,010537,1245,0.2819277108433735,1.0,4243.0,35,census_api
Census Tract 105.38; Fulton County; Georgia,2976,69497,903,312,13,121,010538,1215,0.25679012345679014,1.0,2976.0,35,census_api
Census Tract 105.39; Fulton County; Georgia,2820,85981,1123,284,13,121,010539,1407,0.20184790334044064,1.0,2820.0,35,census_api
Census Tract 105.40; Fulton County; Georgia,5942,79920,581,1064,13,121,010540,1645,0.6468085106382979,1.0,5942.0,35,census_api
Census Tract 106.01; Fulton County; Georgia,3313,62671,501,1015,13,121,010601,1516,0.6695250659630607,1.0,3313.0,35,census_api
Census Tract 106.03; Fulton County; Georgia,3756,47226,319,1016,13,121,010603,1335,0.7610486891385768,1.0,3756.0,35,census_api
Census Tract 106.04; Fulton County; Georgia,2728,28239,305,980,13,121,010604,1285,0.7626459143968871,1.0,2728.0,35,census_api
Census Tract 108.01; Fulton County; Georgia,1988,61593,551,625,13,121,010801,1176,0.5314625850340136,1.0,1988.0,35,census_api
Census Tract 108.02; Fulton County; Georgia,4578,64833,1003,729,13,121,010802,1732,0.42090069284064663,1.0,4578.0,35,census_api
Census Tract 110; Fulton County; Georgia,2711,45685,480,491,13,121,011000,971,0.505664263645726,1.0,2711.0,35,census_api
Census Tract 111; Fulton County; Georgia,2443,77208,761,457,13,121,011100,1218,0.37520525451559933,1.0,2443.0,35,census_api
Census Tract 112.02; Fulton County; Georgia,4294,60295,1139,1124,13,121,011202,2263,0.4966858152894388,1.0,4294.0,35,census_api
